X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,GlobalID
-8735075.5,4673549.17,234,522835,PAGE MEMORIAL HOSPITAL,200 MEMORIAL DRIVE,LURAY,VA,22835,NOT AVAILABLE,(540) 743-4560,CRITICAL ACCESS,OPEN,25,PAGE,51139,USA,38.66325,-78.468518,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.valleyhealthlink.com/page,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,25,NOT AVAILABLE,Y,{00C73BB9-F9A4-42D0-AA89-4F9BF19BEBD7}
-9118415.7,4400554.54,695,148224211,JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,ABINGDON,VA,24211,NOT AVAILABLE,(276) 258-1000,GENERAL ACUTE CARE,OPEN,116,WASHINGTON,51191,USA,36.7229134,-81.912121,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,www.jmh.org,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,116,NOT AVAILABLE,Y,{8DB2C79E-54F7-4D6B-9997-C6F42CF47C57}
-8494319.2,4417581.33,702,16,NAVAL MEDICAL CENTER PORTSMOUTH,620 JOHN PAUL JONES CIRCLE,PORTSMOUTH,VA,23708,NOT AVAILABLE,NOT AVAILABLE,MILITARY,OPEN,202,PORTSMOUTH,51740,USA,36.8454139,-76.305768,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/07/29 00:00:00+00,http://www.med.navy.mil/sites/nmcp2/pages/default.aspx,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - FEDERAL,-999,202,NOT AVAILABLE,Y,{09777616-CC51-4C3C-9819-E6F4729815A3}
-8792774.5,4592787.56,910,122939,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,NOT AVAILABLE,(540) 332-4000,GENERAL ACUTE CARE,OPEN,255,AUGUSTA,51015,USA,38.0945244,-78.986837,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.augustahealth.com,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,255,NOT AVAILABLE,Y,{865D7363-26CD-4F83-BCA8-6E14C687E3BE}
-8623663.2,4508761.19,1535,16123225,HUNTER HOLMES MCGUIRE VA MEDICAL CENTER,1201 BROAD ROCK BLVD,RICHMOND,VA,23225,NOT AVAILABLE,(804) 675-5000,GENERAL ACUTE CARE,OPEN,273,RICHMOND CITY,51760,USA,37.4980743,-77.467685,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.va.gov/directory/guide/allstate.asp,2020/09/25 00:00:00+00,IMAGERY/OTHER,2015/05/29 00:00:00+00,http://www.richmond.va.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - FEDERAL,-999,273,NOT AVAILABLE,Y,{48BC33A3-6686-4825-BEC3-D89C896152AD}
-8611608.6,4465251.17,2118,19323805,POPLAR SPRINGS HOSPITAL,350 POPLAR DRIVE,PETERSBURG,VA,23805,NOT AVAILABLE,(804) 733-6874,PSYCHIATRIC,OPEN,208,PETERSBURG,51730,USA,37.1873352,-77.359397,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/07 00:00:00+00,www.poplarsprings.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,208,NOT AVAILABLE,N,{13F37898-D948-4569-8007-F34E26BAE3CE}
-8890773.9,4397267.72,2131,8224112,SOVAH HEALTH-MARTINSVILLE,320 HOSPITAL DRIVE,MARTINSVILLE,VA,24115,NOT AVAILABLE,(276) 666-7200,GENERAL ACUTE CARE,OPEN,223,MARTINSVILLE,51690,USA,36.6992436,-79.86718,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,https://www.sovahhealth.com/patients-visitors/about-us/sovah-health-martinsville,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,223,NOT AVAILABLE,Y,{EA21C2C3-0080-4839-8EA7-9716F79889B5}
-8542757,4486089.85,2132,14423188,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,100 SENTARA CIRCLE,WILLIAMSBURG,VA,23188,NOT AVAILABLE,(757) 984-6000,GENERAL ACUTE CARE,OPEN,145,YORK,51199,USA,37.336321,-76.740892,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.sentara.com/hospitalsfacilities/hospitals/williamsburg/pages/williamsburgregionalmedical.aspx,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,145,NOT AVAILABLE,Y,{4D1DC48B-9324-4ABE-9B08-97E258F5725C}
-8580177.5,4684458.41,2134,3222306,INOVA MOUNT VERNON HOSPITAL,2501 PARKERS LANE,ALEXANDRIA,VA,22306,NOT AVAILABLE,(703) 664-7000,GENERAL ACUTE CARE,OPEN,237,FAIRFAX,51059,USA,38.7397301,-77.077046,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,http://www.inova.org/patient-and-visitor-information/facilities/inova-mount-vernon-hospital/index.jsp,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,237,NOT AVAILABLE,Y,{B5EAD17D-01C7-48B5-A97A-4F84EC6D8950}
-8558117.3,4565484.56,2135,14922560,RIVERSIDE TAPPAHANNOCK HOSPITAL,618 HOSPITAL ROAD,TAPPAHANNOCK,VA,22560,NOT AVAILABLE,(804) 443-3310,GENERAL ACUTE CARE,OPEN,67,ESSEX,51057,USA,37.901246,-76.878876,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.riverside-online.com/rth,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,67,NOT AVAILABLE,Y,{E6A5EA2E-B43B-474D-88AC-0675F4444DE2}
